"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000279301",-7.01520112003148,-1.18907154961991,4.64522607333426,0.0311400352158018,1
"ENSG00000232154",-8.31092473929437,-0.057161574178915,4.63862702557085,0.0312600019874226,1
"ENSG00000254377",-8.31092473929437,-0.057161574178915,4.63862702557085,0.0312600019874226,1
"ENSG00000251520",-6.05320969880474,-1.90506612833002,4.6382604847282,0.0312666795970951,1
"ENSG00000248503",-5.18088684234374,1.24656440516212,4.63785993798135,0.0312739784247073,1
"ENSG00000124222",-1.87649198008621,4.28115775031574,4.62385513855347,0.0315302967788714,1
"ENSG00000256162",-8.29411469230978,-0.0724176673979762,4.62022272019817,0.0315971352059036,1
"ENSG00000274886",-6.25868362904913,-1.76342859069342,4.60429210007671,0.0318920175807578,1
"ENSG00000107165",-5.45497768424584,-0.302103303896486,4.59366403620469,0.032090343264094,1
"ENSG00000263818",-5.79213043503036,0.00932701211949942,4.58481894809146,0.0322563788596296,1
"ENSG00000225235",-6.81491553649089,-1.33340352109399,4.58481514873441,0.0322564503716085,1
"ENSG00000074211",-8.32251964826521,-0.0562375084295767,4.56717662448206,0.0325902353920435,1
"ENSG00000182057",-4.11956696242296,1.85273442724588,4.56512983829873,0.0326292008473908,1
"ENSG00000179978",-6.32944634352724,-1.7002669495119,4.56102585243161,0.0327074766157979,1
"ENSG00000213047",-1.89525266640458,3.9894308938194,4.5475146942897,0.0329665646324634,1
"ENSG00000287218",-6.76698530507072,-1.37077121443084,4.54651527329422,0.0329858143158487,1
"ENSG00000186487",-8.30151177840143,-0.0754262966006995,4.54446156177933,0.0330254073685359,1
"ENSG00000286592",-8.30151177840143,-0.0754262966006995,4.54446156177933,0.0330254073685359,1
"ENSG00000262966",-6.16882842993539,-1.82664147015514,4.5428437248195,0.0330566322386601,1
"ENSG00000222515",-5.6664664422431,-2.15349083808485,4.53796827482316,0.0331509168820615,1
"ENSG00000286177",-8.20699574097214,-0.151219878706323,4.53056809483119,0.0332945634698918,1
"ENSG00000274721",-5.72082557506727,-2.11667460377305,4.52696928057823,0.0333646557028425,1
"ENSG00000267308",-5.72082557506727,-2.11667460377305,4.52696928057823,0.0333646557028425,1
"ENSG00000236130",-6.43885666813382,-1.6341185193884,4.52538360588464,0.0333955879671437,1
"ENSG00000277368",-6.43885666813382,-1.6341185193884,4.52538360588464,0.0333955879671437,1
"ENSG00000279964",-8.18892251973956,-0.167511128524736,4.51276155926062,0.0336428811760837,1
"ENSG00000084734",-2.22358965669446,3.80697491147967,4.50837840156146,0.0337292036267449,1
"ENSG00000175267",-6.71740704975449,-1.40914044628069,4.5069653314266,0.0337570821099872,1
"ENSG00000259721",-6.26183768986481,-1.74880320324255,4.50691461442962,0.0337580831539002,1
"ENSG00000266412",-1.15863663372286,8.15047646669134,4.50219285049502,0.033851416577454,1
"ENSG00000273805",-5.88836185458217,-2.00685534246644,4.50105925662891,0.0338738640359469,1
"ENSG00000224078",-2.17501332525489,3.53264474333851,4.48366741459991,0.0342202147506211,1
"ENSG00000178385",-3.6402234780701,3.72833588594523,4.48158149293674,0.0342620028271457,1
"ENSG00000279368",-8.23658719359154,-0.134571875152695,4.47779285799847,0.0343380384968003,1
"ENSG00000104093",-3.89435557617322,2.2409506312714,4.4767190301636,0.0343596216550585,1
"ENSG00000085563",-1.62364920680451,4.70688524094131,4.4765617179452,0.0343627847069141,1
"ENSG00000143499",-1.44405943750969,5.38732934564414,4.47215381444238,0.0344515375935552,1
"ENSG00000269399",-6.79240090477064,-1.36637586729559,4.46060875002343,0.0346851345177991,1
"ENSG00000237638",-4.37302007795518,0.73227241627172,4.45865198862996,0.0347248904647348,1
"ENSG00000170242",-1.13279684518401,6.3773580703099,4.45662203668604,0.0347661837963168,1
"ENSG00000230287",-6.19089850612359,-1.7990528803436,4.45135540852206,0.0348735572704007,1
"ENSG00000218424",-5.79559477375043,-2.06741972810759,4.44247338528708,0.0350554259717067,1
"ENSG00000196979",-8.114276374358,-0.234583684736986,4.43950743411541,0.0351163776115474,1
"ENSG00000066405",-5.22046252136377,0.34721040252641,4.43625336965971,0.0351833776437912,1
"ENSG00000285108",-5.76845759218154,-0.401888223332239,4.4305808968866,0.0353004917270397,1
"ENSG00000264580",-5.71588843462752,-2.12502701296803,4.42440758302335,0.0354284096913524,1
"ENSG00000244926",-6.06722214091824,0.270636080051109,4.42430142145523,0.0354306137140305,1
"ENSG00000115966",-1.49183801399799,4.86358805957964,4.42165042344409,0.0354856976814602,1
"ENSG00000168453",-8.09499526837605,-0.2518514835489,4.42066296955677,0.0355062384630368,1
"ENSG00000197815",-4.33458951389888,0.165410799053939,4.41028700146846,0.0357228305324938,1
"ENSG00000235316",-5.24337132175109,0.367167939270943,4.40441568439307,0.0358460027700535,1
"ENSG00000274967",-5.52986515808058,-2.23617356482056,4.40282104025621,0.0358795329164922,1
"ENSG00000252174",-5.55682333538085,-2.22119030454475,4.39610693849137,0.0360210689312589,1
"ENSG00000118514",-8.14520937105461,-0.217400781714118,4.38869637534941,0.036177965249965,1
"ENSG00000139549",-8.05564223417256,-0.287020894171522,4.38230095008954,0.0363139441005344,1
"ENSG00000223859",-6.55754256297816,-1.5308372185288,4.37990003489777,0.0363651301292179,1
"ENSG00000277978",-6.55754256297816,-1.5308372185288,4.37990003489777,0.0363651301292179,1
"ENSG00000243485",-5.69639102793904,-2.13069738374398,4.37734530536543,0.0364196783323677,1
"ENSG00000233217",-5.69639102793904,-2.13069738374398,4.37734530536543,0.0364196783323677,1
"ENSG00000151490",-8.12143117139448,-0.238872215633043,4.36562692438155,0.0366709872976113,1
"ENSG00000253972",-5.85993710560657,-2.03453486121393,4.36356436664441,0.0367154078854723,1
"ENSG00000227583",-5.85993710560657,-2.03453486121393,4.36356436664441,0.0367154078854723,1
"ENSG00000285867",-4.4249657871927,0.396083997572237,4.36199036950981,0.0367493444149584,1
"ENSG00000197632",-1.69257957904927,6.7006849638885,4.35069246100284,0.0369939016860313,1
"ENSG00000286974",-5.25749252465609,-0.475032712515378,4.34714126305902,0.0370711233558266,1
"ENSG00000226286",-6.50005708434223,-1.57381869559275,4.33438080230666,0.0373499988767121,1
"ENSG00000118260",-1.68722160813952,5.50440195139717,4.33339424176188,0.0373716511390279,1
"ENSG00000229930",-5.58353102897175,-2.20631518625593,4.33125765084971,0.0374185884589478,1
"ENSG00000224903",-5.58353102897175,-2.20631518625593,4.33125765084971,0.0374185884589478,1
"ENSG00000236559",-5.58353102897175,-2.20631518625593,4.33125765084971,0.0374185884589478,1
"ENSG00000113361",-2.0051860411619,4.22418552222449,4.32627983825572,0.0375281823654205,1
"ENSG00000279459",-5.01436753980216,1.65826911737812,4.32567619869126,0.0375414952271175,1
"ENSG00000147251",-8.07266590069523,-0.282797164608056,4.31846693179488,0.0377008736991952,1
"ENSG00000253302",-5.95442461744479,-1.9614268270897,4.31738690004861,0.037724811433132,1
"ENSG00000227066",-6.59935181369083,-1.51520288625457,4.30702608963115,0.0379552584362319,1
"ENSG00000283709",-6.59935181369083,-1.51520288625457,4.30702608963115,0.0379552584362319,1
"ENSG00000239040",-5.58977759321843,-2.1969471935296,4.30405014017254,0.0380217224003837,1
"ENSG00000153157",-5.58977759321843,-2.1969471935296,4.30405014017254,0.0380217224003837,1
"ENSG00000279138",-7.97356110180653,-0.360046325137567,4.30272547360161,0.0380513463270454,1
"ENSG00000114948",-8.04765096503691,-0.305270984135638,4.29435557366801,0.0382390851626633,1
"ENSG00000173212",-5.35384585193937,-0.38509435166809,4.28811747874949,0.0383796384258367,1
"ENSG00000232940",-6.4401839562593,-1.61813330733136,4.28706668969165,0.0384033674617716,1
"ENSG00000071991",-6.40971601591193,0.592976510150498,4.27879806699425,0.0385906279655772,1
"ENSG00000136167",-1.55300777699837,4.49931032131729,4.27417192973266,0.0386958140632775,1
"ENSG00000158006",-1.21912615210322,5.63453977441829,4.27105581699962,0.0387668356156976,1
"ENSG00000287110",-8.02219469255215,-0.328100036172687,4.26987527948305,0.038793777777912,1
"ENSG00000278987",-8.02219469255215,-0.328100036172687,4.26987527948305,0.038793777777912,1
